comments	contain_gender_bias	bias	hate	comments_clean
노무현. 김대중 세월호는 건들면 안되고 이승만 박정희 전두환은 욕해도 되고 ㅋㅋ기준이 뭐냐???	False	none	offensive	노무현 김대중 세월호 건들 안 되 이승만 박정희 전두환 욕하 되 기준
노무현이 박일도다	False	others	offensive	노무현
노브라를 하건말건 뭔상관 한남들아 욕그만해 ㅡㅡ	True	gender	hate	노브라 하 말 상관 남 욕 그만
노브라를 하던 말던 알아서 하시구요. 페미 메갈짓만 안하면 하고싶은데로 하고 사세요. 아무도 불평안함	True	gender	hate	노브라 하 말 알 하 페미 메 짓 안 하 하 하 사 불평 안 하
노사연도 저나이에 저정도면 진짜 관리잘하고 센스있는거지 평범한 줌마들이랑은 다르네	True	gender	offensive	노사연 나이 정도 진짜 관리 잘 센스 있 평범 줌 마 다르
노이해.. 일반 여자라면.. 속옷 착용안한 상태로 방송 안할듯 노출증 환자나 하겟지.. 여자인 나도 노이해다. ㅜㅜ	True	gender	offensive	노 이해 일반 여자 속옷 착용 안 하 상태 방송 안 하 노출증 환자 하 여자 이해
노인 공경도 안하는 논들한테 뭔 자리를 비켜줘! 임산부논들만 힘드냐?페미논들 진짜 역겨워.	True	gender	hate	노인 공경 안 하 논 자리 비키 임산부 논 힘들 페미논 진짜
노잼 .. 대사가 안들려서 넷플릭스에서 자막 키고 봤는데 2화까지 보고 못보겠다..	False	none	none	노 잼 대사 안 들리 넷플릭스 자막 키 보 보 못 보
노잼 지들 인생살이 이야기 들어야하나	False	none	offensive	노잼 인생살이 이야기
노잼!!!!!!!!!!이병헌 넘 늙어다는거.......	False	others	offensive	노 잼 이병헌 넘 늙
노지훈 꽃길만 걷자 불후의명곡에서도 보고싶어요 노력이란노래 듣고 울었네요	False	none	none	노지훈 꽃길 불후 명곡 보 노력 노래 울
노처녀 김치녀들이나 좋아할 드라마네 저거 사진에 남자놈 똥폼 잡는거 봐 ㅋㅋ	True	gender	hate	처녀 김치 녀 좋아하 드라마 사진 남자 똥 폼 보
노출사고가 뭔 자랑이라고 당당이 거기에 왜붙냐?	False	none	hate	노출 사고 자랑 당당 왜 붙
노친네 넘설친다	False	others	hate	노친 넘 설치
노홍철 이새기나와서 딴데뜬다	False	none	hate	노 홍 철 새 나오 뜨
노화로 인한 못생김이 슬슬더 가중되는 시기~~^^	False	others	hate	노화 인하 못생기 슬슬 더 가중 시기
논란 해명 부탁드립니다	False	none	none	논란 해명 부탁 드리
논란은 늘 이런 기사의 제목이 한 몫 하는 듯!돈 많은 사람들은 돈을 써야 경제가 돌아가죠 명품을 입든말든~ 이런 제목 진짜 별루에요..ㅡㅡ	False	none	none	논란 늘 기사 제목 몫 하 돈 많 사람 돈 쓰 경제 돌아가 명품 말 제목 진짜 별루
논란이고 나발이고 이상민 미우새 지겹다 이제그만하차해라	False	none	none	논란 나발 이상민 미우새 이제 그만 하차
논란이잇엇던 슈퍼맨이 화제 인기프로로만들엇든게 쌍둥이때문인데 프로가 인기가잇으니깐 어느 대한민국만세인지 매국 금수저 못생긴삼둥이가 처나와서 밥숟가락만 언져먹고나갓지 ㅋㅋ	False	others	hate	논란 슈퍼맨 화제 인기 프로 만들 쌍둥이 프로 인기 대한민국 만세 매국 금수저 못생기 처 나오 밥 숟가락 얼 지 먹 나가
놀고잇네 ㅋㅋㅋㅋㅋ 연기연습이나해라 ㅋㅋㅋ 지가무슨 맨날 예능만 찍어싸고이쁘가이쁘다 하니까 신났네	False	others	hate	놀 연기 연습 하 맨날 예능 찍 싸 이쁘 이쁘 하 신나
놀고있네ㅡㅡㅋ 관리도 안해놓고 믄 기억 살아있을때 잘하지	False	none	offensive	놀 관리 안 하 믄 기억 살 때 잘 하
놀라울 27 후ㄷㄷ	False	others	none	후
놀지만 말고 연기자할거면 연습좀 해라 핵발연기ㅋㅋ	False	none	offensive	놀 연기자 하 연습 좀 하 핵 연기
농농 베트남~~	False	others	hate	농 농 베트남
뇌물먹고 자살한 고 노무현 대통령이 분명히 봉하마을 부엉이바위에서 지켜보고 있을 것이다.	False	others	hate	뇌물 먹 자살 노무현 대통령 분명히 봉하마을 부엉이 바위 지켜보
누가 그일하래. 다른일햐. 힘든거 예전부터 다 알잔우	False	none	offensive	일 하 일 힘들 예전 다 알 잔 우
누가 무슨 권리로 예쁘네마네 판단하며 까내리는지? 누군지도 모르겠다는 사람 욕하는 니네는 가치관이 어떻게 된건가? 지나가는 사람 면상에 욕하고 지나갈수 있는 인성이 쓰레기인 인간들인건가?	False	none	offensive	권리 예쁘 말 판단 까 내리 모르 사람 욕하 가치관 되 지나가 사람 면상 욕 지나가 있 인성 쓰레기 인간
누가 보면 독립운동 하러 가는 줄 알겠네. 하하가 먹던 사회에서의 마지막 햄버거냐?	False	none	offensive	보 독립운동 하 가 알 먹 사회 마지막 햄버거
누가 악플을 달긴? 80년대 최악의세대라불리어는 여자들이지.	True	gender	hate	악플 달 최악 세대 불리 여자
누가 애 기사 궁금해한다고	False	none	offensive	애 기사 궁금
누가 앵두를 찍었다고 거짓말을 대놓고 하냐 ㅋㅋ	False	none	none	앵두 찍 거짓말 대놓고 하
누가 응원을 해요?? 응원물결이 있어요?	False	none	none	응원 하 응원 물결 있
누가 조문인증을 강요햇대 조문인증기사쓰는 기자들이 웃긴소리하고 자빠졋네 이런기사나쓰지마	False	none	offensive	조문 인증 강요 하 조문 인증 기사 쓰 기자 웃기 소리 하 자빠지 기사 쓰
누가꽃이인지 잘모르겠어용ㅎㅎ	False	none	none	꽃 잘 모르
누가봐도 한거다. ㅎㅎㅎ	False	none	offensive	보 하
누가사고가났던 일단의료사고가 났다는게....어디병원이죠 거기	False	none	none	사고 나 일단 의료 사고 나 병원
누가좋아한다고 이런기사냐 경제도 어려운데 취집잘가 호강하는거 전국민이 다아니까 그만 이런기사 그만해라 지겹다	True	gender	hate	좋아하 기사 경제 취 집 잘 가 호강 국민 다 알 그만 기사 그만 하
누구 이창섭 태도 별로라고 하신분 ㅋㅋㅋㅋㅋ	False	none	none	이창섭 태 별로 하
누구.....배우인가요? 가수인가요??	False	none	offensive	배우 가수
누구? 씨엔블루? 사기꾼정용화가 잇는?	False	none	hate	씨엔블루 사기 정
누구냐 넌	False	none	offensive	
누구냐 넌!!!! (올드보이 생각나네)	False	none	none	올드 보이 생각나
누구냐 넌????	False	none	offensive	
누구냐 이 개듣보들은 요즘은 일반인도 돈 쳐받고 기사 써주는 게야??...이게 나라냐??...	False	others	hate	개듣보 요즘 일반인 돈 치 기사 쓰 나라
누구냐 이자슥은또	False	none	offensive	자슥 또
누구는 밥과 김치도 제대로 못 먹어 김치 반통 허겁지겁 먹고 잇을때 넌 하수도 오물 통채로 삼키듯 아구창에 쉬는 틈마다 뭘 쑤셧잖아 생각이 안놔⁉️⁉️⁉️	False	none	hate	밥 김치 제대로 못 먹 김치 반 통 허겁지겁 먹 때 하수도 오물 통 삼키 아구창 쉬 틈 쑤시 생각 안
누구랑결혼할지 절세미인이랑 부럽네	True	gender	none	결혼 절세미인
누구세요? ㅎㄷㄷㄷㄷ이젠 단역도	False	none	offensive	이제 단역
누구신데요 ㅠㅠ 뭐하려고 돈써서 이렇게 기사 뿌리고계신가요 그냥 신혼여행에나 보태쓰시지	False	none	offensive	하 돈 쓰 이렇게 기사 뿌리 그냥 신혼 여행 보태 쓰
누구신지 ㅠㅠ	False	none	none	
누구야 도대체 누구냐고	False	none	offensive	도대체
누구야? 첨보네	False	none	offensive	첨 보
누구여 이 개 10 듣보들은 ㅡㅡ	False	none	hate	개 듣보
누구임? 아는사람~	False	none	offensive	아 사람
누구지~~^^이제는 나올사람이 없나보다.	False	none	offensive	이제 나오 사람 없
누구처럼 돈만 밝히는 저급인생은 살아가지마시길~~ 행복은 머니순이 아니니깐 작은거에 감사하고 항상 좋은일만 가득하길~	False	others	offensive	돈 밝히 저급 인생 살아가 행복 멀 순 작 감사 항상 좋 일 가득
누군가의 상상아님? 예고보니 살아있더만	False	none	none	상상 예 살
누군대 저듣보가	False	none	hate	저듣보가
누군데 이조폭은?	False	others	offensive	조폭
누군데 출산으로 메인에 걸려있는거임	False	none	offensive	출산 메인 걸리
누군데이넘은...가수 이지훈인줄	False	none	offensive	넘 가수 이지훈
누군지 나만 모르나ㅜ	False	none	none	모르
누군지 모르겠는데 존나 꼬시네~ 저 얼굴로 아이돌 한거도 신기하네 현역 잘가라 꿀빨려고 했는데 실패했네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	True	gender	hate	모르 존나 꼬시 얼굴 아이돌 하 신기하 현역 잘 가 꿀 빨 실패
누군지 모르겠지만 40,50대 아저씨들 야광봉으로 얼굴때린건 반성해라	False	none	none	모르 아저씨 야광 봉 얼굴 때리 반성
누군지 모름..그리고 할거다하고 알거다아는 사이에 참으로 축하하것다...ㅉㅉㅉ	False	none	offensive	모르 하 하 알 다 알 사이 참으로 축하
누군지 밝히면?? 그 멤버도 피해자예요. 누가 조작해달라고 했습니까? 위에서 다 조작해놓고 지금 활동 끝난지가 언젠데 이제와서 이러고 있으니 지금 모두 피해자라고요. 왜 화살이 멤버들한테 가나요 (동의합니다)	False	none	none	밝히 멤버 피해자 조작 하 위 다 조작 지금 활동 끝나 이제 오 이러 지금 모두 피해자 왜 화살 멤버 가 동의
누군지 밝히셈ㅋ 그리고 걘 연예계에서 영구퇴출가자 정유라랑 다를바없잖아ㅋ	False	others	hate	밝히 셈 연예 영구 퇴출 정유라 다르 없
누군지누모르겠지만 제발 좌파 민주당지지자였으면	False	others	none	누 모르 제발 좌파 민주당 지지자
누군지는 모르겠지만 이런 식으로 얼굴 알리는 건 별로다.	False	none	offensive	모르 얼굴 알리 별로
누군지는 정말 모르지만 항상 모르겠습니다...	False	none	none	정말 모르 항상 모르
누군지도 모르겠는데 뭔 대중의 응원이 쇄도?	False	none	offensive	모르 대중 응원 쇄도
누군지도 모르고 관심도 없음	False	none	none	모르 관심 없
누군지도 모르지만 옛다 관심 !	False	none	none	모르 다 관심
누군지모르지만 요즘걸그룹창여들다발라버리네..	True	gender	hate	모르 요즘 걸그룹 창 여 다 바르
누군진 모르지만 삼고빕	False	none	offensive	모르 삼고 빕
누나 아프지마 ㅜㅜ	False	none	none	누나 아프
누나가 쌍 또라이네 지 편하자고 뭔짓이냐 지금이라도 미안하면 한강 가라	False	none	hate	누나 쌍 또라이 편하 짓 지금 미안 한강 가
누나는 시집 잘감 ㅇㅇ	False	none	none	누나 시집 잘 가
누명 아니고 강기사 아저씨 다예 아빠 칼로 찔러 죽임 무슨 누명이야 다예가 강기사 아저씨칼로 찔러 죽일듯	False	none	none	누명 강 기사 아저씨 다예 아빠 칼 찌르 죽이 누명 다예 강 기사 아저씨 칼 찌르 죽이
눈 졸라 모였네 난 박신혜 스타일이 좋음 신동엽같이 모인눈 극혐 갈데가 없어 짱개랑	False	others	hate	눈 조르 모이 박신혜 스타일 좋 신동엽 같이 모이 눈 극혐 가 없 짱 개
눈 코 입술 가슴 올튜닝 ㅠㅠ	True	gender	hate	눈 코 입술 가슴 올 튜닝
눈가의 주름보니 둘다 천생연분....... 핸디캡 마저 똑같네요.......	False	none	none	눈가 주름 보 다 천생연분 핸디캡 마저 똑같
눈만 크게뜨는연기.... 나만 불편한가?	False	none	offensive	눈 크 뜨 연기 불편
눈물났어요 ㅠㅠㅠ....진짜 아기가 엄마의 마음을 닮아서 천사같은듯	False	none	none	눈물 나 진짜 아기 엄마 마음 닮 천사 같
눈물이 많은 남자는 보기싫음 찌찔해보임	True	gender	offensive	눈물 많 남자 보 싫 찌찔 보이
눈빛이 소름돋는다는거.. 나만 못느끼나.... 당연히 사람이 말하면 쳐다볼수있는거 아닌가.. ?	False	none	none	눈빛 소름 못 느끼 당연히 사람 말 쳐다보 있
눈에 슬픔이 보인다	False	none	none	눈 슬픔 보이
눈이 부시게 재미있게 봤어요~!	False	none	none	눈 부시 재미있 보
눈치 더럽게 없고 그만 봤으면 싶다 진심	False	none	offensive	눈치 없 그만 보 진심
눈크다고 다 이쁜건 아니구나.이분이나 홍수아나 눈이 무서워.	False	none	none	눈 크 다 이쁘 홍수아 눈
뉘세여????암튼 삼고빕!	False	none	offensive	암튼 삼 빕
뉴스룸 김남주가 한번 하지...진짜 아나운서 같던데...	False	none	none	뉴스룸 김남주 하 진짜 아나운서 같
뉴욕대 가서 미국귀족 백마들한테 멸시받느니 연세대와서 한국여자들 쉽게 먹는게 현명한 선택인듯. 서울에서 어딜가나 인기폭발 하고 방송출연 섭외도 들어오고 그럴듯. 드립좀만 잘 치면 예능에서 성공할수 있고.	True	gender	hate	뉴욕대 가 미국 귀족 백마 멸시 연세대 오 한국 여자 먹 현명 선택 서울 가 인기 폭발 방송 출연 섭외 들어오 드립 좀 잘 치 예능 성공 있
뉴이스트 리더 jk가 떨어진 게 말도 안된다고 생각했는데	False	none	none	뉴 이스트 리더 jk 떨어지 말 안 되 생각
뉴이스트때문에 모종의 거래가 있었던건 아닐까..ㄱㅈㅎ 없이 활동 못하니까.프듀 끝나고 ㄱㅈㅎ 예능 프로 많이 밀어준 느낌 받았는데 보상같은건 아닐지.	False	none	offensive	뉴 이스트 모종 거래 있 없이 활동 못 하 프듀 끝나 예능 프로 많이 밀어주 느낌 보상 같
느낌상 변소장같음 반전으로갈라면	False	none	none	느낌 변소 장 같 반전 가
느무 재미 없다.	False	none	none	느무 재미 없
늑대 여우 코요테	False	none	none	늑대 여우 코요테
늘 신선함.게스트 바꿔가면서 식상하지않음.김완선 팬이나 불청에선 민폐녀~늘 방콕하며 다차린음식먹기만해 밉상였음.	True	gender	offensive	늘 신선 게스트 바꾸 식상 김완선 팬 불 청 민폐 녀 늘 방콕 하 다 차리 음식 먹 밉상 이
늙고 추하다	False	none	hate	늙 추하
늙었다 최지우가 시집가서 마음고생했나더 늙기 전에 좋은짝 만나요 일반인으로	True	gender	offensive	늙 최지우 시집가 마음 고생 더 늙 전 좋 짝 만나 일반인
늙은 송혜교	False	none	hate	늙 송혜교
늙은 언냐들 불-편	True	gender	offensive	늙 언냐 불편
늙은 죄???	False	others	hate	늙 죄
늙은 티 나긴 남..이젠 소년미는 아니야..차라리 몸이라도 키워요..	False	others	none	늙 티 나 나 이제 소년 미 차라리 몸 키우
늙은남자는 사회악이다. 생각이란게 없다.	True	gender	hate	늙 남자 사회악 생각 없
늙은마누라 모시고살람 이정도는 호사누려야지	True	gender	hate	늙 마누라 모시 살 정도 호사 누리
늙탱이 40대 줌들이 빠는 그새끼네 ^^	True	gender	hate	늙탱 줌 빠 새끼
능력도 있는데 20대 여자랑 결혼했으면 좋을텐데	True	gender	offensive	능력 있 여자 결혼 좋
능력있네요 부럽다	False	none	none	능력 있
능력있으니까 연하남도 만나네 ㅋㅋ 페미하는 애들은 개저씨는 싫고 연하남은 좋은가봐? 연하남은 니들이 좋대디?	True	gender	hate	능력 있 연하 남 만나 페미 애 개저 싫 연하 남 좋 연하 남 좋 하
니 독감걸린걸.. 별걸다기사로 ㅉ	False	none	offensive	독감 걸리 다 기사
니 말뿐이잖아 구체적증거를 내놔 계좌이체했음 이체기록과 중고나라거래했음 거래기록	False	none	none	말 구체 증거 내 계좌 이체 이체 기록 중고나라 거래 거래 기록
니 부모를위해 울어본적있냐? ㅉㅉㅉ 군대가면 다 뒤져서 오는줄아나	False	none	offensive	부모 위하 울 있 군대 가 다 뒤지 오 알
니 아부지가 염라언니였어 ㅍㅎㅎ	False	none	none	아부지 염라 언니
니 아빠 조심해라...	True	gender	offensive	아빠 조심
니 이미지가 악녀스럽지 ㅋㅋㅋㅋㅋ 엠빙신 연기대상때 한참어린 한효주랑 기싸움하는거 아직도 눈에 선하다 ㅋㅋㅋㅋㅋ	False	none	hate	이미지 악녀 엠 빙신 연기 대상 때 한참 어리 한효주 기 싸움 하 아직 눈 선하
니가 그덯케 thㅏ움을 자래? 옥땅으로 올라와	False	none	offensive	그덯케 th 움 자 옥 땅 올라오
니가 누구랑 사귀든 관심 없다 OOO년아 얼굴에 주사맞은년이 ㅋㅋ 에휴 역겨워	False	others	hate	사귀 관심 없 OO 얼굴 주사 맞
니가 민폐인걸 지금알앗니??	False	none	hate	민폐 지금 알
니가 살찌는건 쳐먹고 운동을 안해서지	False	others	hate	살찌 치 먹 운동 안 하
니가 하는 짓거리가 딱 설리야 그 뒤를 이어서 골로 가버려라스케치북이나 올리는 짓을 하냐	False	others	hate	하 짓거리 딱 서 뒤 골 가 스케치북 올리 짓 하
니네 여자 보다 이쁘니까 부러워서 까냐 ㅋㅋㅋㅋ	True	gender	hate	여자 이쁘 까
니네 여자들 결혼해서 남편한테 쳐맞고 살아도 이혼요구 먼저하지말아라 배신이니까 알았지? 니네 논리가 이딴식인데 이런 반대도 공감해줘야지? 안그래?	True	gender	hate	여자 결혼 남편 치 맞 살 이혼 요구 먼저 하 배신 알 논리 반대 공감 안
니놈이 실력이 있냐 외모가 출중하냐 호감형이길 하냐 키라도 크냐 천운으로 이름 좀 날렸다마는 부모 죄가 없어도 넌 연예계에 발 오래 못붙일 놈이었어 나혼자산다서 24시간이 모자라게 쳐먹는놈 띄워주는거 보고 박나래도 싫어질려고 하더라	False	others	offensive	실력 있 외모 출중 호감 하 키 크 천운 이름 좀 날리 부모 죄 없 연예 발 오래 못 붙이 혼자 살 모자라 치 띄우 보 박나래 싫
니들 송혜교 욕하지말아라. 고소미 먹는다..저긴 캡쳐부대 좌표찍고 몰려오니깐 조심해야해. 똥이 더러워서 피하지 무서워서 피하냐? 미국같았으면 징역감인데말야..이래서 아직 한국이 후진국임.	False	others	offensive	송혜교 욕하 고소 미 먹 길 캡쳐부대 좌표 찍 몰려오 조심 똥 피하 피하 미국 같 징역 감 아직 한국 후진국
니들 시엄마도 겪은거다 되물림되는거고ㅎㅎ 니들도 마찬가지인 시엄마될꺼고ㅋㅋ 하나만 알고 둘은 모르는 ㅋ 김치녀언들ㅋ	True	gender	hate	엄마 겪 되 물림 니들 마찬가지 시 엄마 되 알 모르 김치 녀 언
니들 임신한것까지 알아야하냐	False	none	offensive	임신 알
니들가족이 승리라고 생각해봐라,,,,,이 악플러 한남충들아	True	gender	hate	니들 가족 승리 생각 악플 한남 충
니보다 더 할까?	False	none	offensive	더 하
니키에 52킬로는 너무하지안나? 나도 170 에 53인데?	False	others	offensive	니키 너무 하 안 나
니하고 원나잇한개 원인이구나 미안하다 하지만 널 밧아줄순업다 내마누라가 부자야	True	gender	hate	나 잇 원인 미안 밧아 주 마누라 부자
님이 구매해서 기부해주세요	False	none	none	님 구매 기부
다 고소미 먹어라 미친 ㅠ 진짜 원걸 골수팬 중에 선예 욕하는 사람 없어요 12년 팬하면서 선예 원망해본 적 없습니다 팬인척 하지 마세요 진짜 가소롭고 소르끼치네; 진짜 다들 경찰서에서 정모하시길^__^	False	none	offensive	다 고소미 먹 미치 진짜 원 걸 골수 팬 선예 욕하 사람 없 팬 선예 원망 없 팬 하 진짜 소르끼 치 진짜 다 경찰서 정모 하
다 그러고 애낳고 키웠고 다 그러고 산다예전에 우리엄마들은 어떻게 애키우며 밭일하고 살았는지...다 본인이 선택한 인생이고 힘든거 이상의 기쁨이 있다기자들도 이런거 퍼날리지말고 발로뛴 기사나 써라	True	gender	offensive	다 그러 애 낳 키우 다 그러 살 예전 엄마 애 키우 밭일 하 살 다 본인 선택 인생 힘들 이상 기쁨 있 기자 푸 날리 발 뛰 기사 쓰
다 넘 늙었다 상콤이들데려와쥬	False	others	offensive	다 넘 늙 상콤 데려오
다 늙어서 뭔 아이돌가수 득실거리는데서 버틸수 있겠냐?	False	others	hate	다 늙 아이돌 가수 득실거리 버티 있
다 듣보잡 B급 연예인만 모아놨네ㅉㅉ 얼마 못가 망할듯	False	none	offensive	다 보 잡 B 급 연예인 모으 얼마 못 가 망하
다 방송 시청률 잘 나오고 평 좋으니까 시즌2 나오는 겁니다. 여기서 아무리 욕해봤자 보는 사람들은 다 재밌게 봄	False	none	none	다 방송 시청 잘 나오 평 좋 시즌 나오 아무리 욕하 보 사람 다 재밌 보
다 방송이고 대본이에요 ㅋㅋ 땡깡좀 부리고 해야지 재밋지	False	none	none	다 방송 대본 땡 깡 좀 부리 하 재밋지
다 설정이었나 보네.요즘 대부분 젊은 며느리가 갑이고 시어머니가 을이라 시누이들이 친정엄마 고생하는것 보기 싫어서 명절에 친정에도 안 간다.	False	others	offensive	다 설정 요즘 부분 젊 며느리 갑 시어머니 을 시누이 친정 엄마 고생 보 싫 명절 친정 안 가
다 아티스트인 척 연기하는겨 6개월 작업하고 6주 활동하고 6년 먹고 사는데 오지랖이든 뭐든 그만해	False	none	hate	다 아티스트 연기 기 작업 활동 먹 사 오지랖 그만 하
다 알고 있겠지....그나물에 그밥자기 돈줄 끊길까..자게 기획사 망할까..모르는척...그냥 넘긴거	False	others	offensive	다 알 나물 밥 자기 돈줄 끊기 자게 기획사 망하 모르 그냥 넘기
다 유재석할탓ᆢ유재석이 박명수 무시하고 안살리고자기몸담은 프로 살아야하니 조세호한테 엄청 의지하는듯	False	none	offensive	다 유재석 탓 유재석 박명수 무시 안 살리 자기 몸담 프로 살 조세호 엄청 의지
다 자기 업보예요 김구라가그렇게조언해줬는데ㅠ이제는행복하세요	False	none	none	다 업보 김구라 조언 이제 행복
다 좋은데 남양유업 같은곳 위해서 일하지마라	False	others	none	다 좋 남양유업 같 곳 위하 일
다 좋은데 박수홍 엄마좀 안나왔음좋겠다 ㅠㅠ	False	none	offensive	다 좋 박수홍 엄마 좀 안 나오 좋
다 좋은데 사겨라 이딴소리하지마라..여자애가 몇살인데 박성광같은 아.재 랑 사겨ㅡㅡ	True	gender	hate	다 좋 사겨 소리 하 여자 애 박성 같 랑 사겨
다 좋은데. 남양유업 사회 공헌팀 ㅜㅜㅜㅜ. 하신 행동은 정말 훌륭하세요. 저 여자분의 생명의 은인임. 강간하고 살해당할수도 있었음..근데 남양 유업 ㅜㅜ	False	others	none	다 좋 남양유업 사회 공헌 팀 하 행동 정말 훌륭 여자 생명 은인 강간 살해 있 남양 유 업
다 지루하고 숙행만 기대. 진짜 연애가 필요보이는 사람 섭외해라	False	none	offensive	다 지루 숙 행 기대 진짜 연애 필요 보이 사람 섭외
다 풀어주어라 구속은 무슨 혈기왕성한넘들이 지네끼리 논것가지고 왜이리 시끄럽냐 애네가 마약한것도 아니고 여기댓글다는넘들 동영상보고 그짓안하는넘들 없다	True	gender	offensive	다 풀 구속 혈기 왕성 넘 놀 가지 왜 이리 애 마약 댓글 달 넘 동영상 보 짓 안 하 넘 없
다 필요없고 구혜선 졸라 이쁘다 이쁘면 다지 성격이 어떻턴간에...이쁘면 지맘대로 해도 되는 세상이다 혜선 누나 너무 이뻐요	False	others	offensive	다 필요 없 구혜선 졸라 이쁘 이쁘 다 성격 턴 이쁘 맘대로 하 되 세상 다 혜 선 누나 너무 이쁘
다 한때다 .. 냅둬라 지멋이라는데...10때 유행옷 20대때 다시입으라하면 못입듯히 나이가점점 차고 삼십줄되면 다 알아서 멈출거다냅둬라	False	others	none	다 하 때 냅두 멋 하 때 유행 옷 때 다시 하 못 나이 점점 차 되 다 알 멈추 냅두
다거르고 빅뱅노래는 ㅈㄴ잘냄 노래나 내라	False	none	offensive	다 거르 빅뱅 노래 잘 내 노래 내
다나 살 찐거 보고 나도 살 빼면 다나처럼 이뻐지겠지하며새벽에 양념치킨 먹다가 손가락에 묻은 앙념 빨아 먹는 메퇘지년들 생각나네 ㅎㅎ	True	gender	hate	달 살 찌 보 살 빼 다 나 이쁘 하 새벽 양념치킨 먹 손가락 앙 념 빨 먹 메퇘지년 생각나
다나 이쁜데 기자가 질투하는 모양새 말 장난 날개 못 다나? 이런게 기사 제목? ㅋ 다나 까지 마라. 착하고 성실하다 이기. 어릴때부터 응원중 , 다나는 단아하다 이기.	False	none	offensive	다 나 이쁘 기자 질투 모양새 말 장난 날개 못 다 나 기사 제목 다나 까 착하 성실 어리 때 응원 다나 단아
다니엘 잘못한거 없어요 공룡과 힘겨운 분쟁할때당신을 행복하게 해줄 사람 만나는 거ㅡ무조건 응원합니다	False	none	none	다니엘 잘못 없 공룡 분쟁 때 행복 사람 만나 무조건 응원
다니엘이 훨씬 아깝다.. 급에 맞게 사귀어야지 에효	False	none	offensive	다니엘 훨씬 급 맞 사귀 에효
다니엘헤니 내남편 내남자 ~♥	False	none	none	다니엘 헤니 남편 남자
다된 기생충 잔치에재 뿌린 방가방송과 안현모 다신 나서지 말자	False	others	hate	다 되 기생충 잔치 재 뿌리 방 가 방송 안현모 다시 나서
다둥이 뜻을 모르는것 같습니다..기자님...무튼 축하해요.	False	none	none	다둥이 뜻 모르 같 기자 무트 축하
다들 뱃대지에 기름들이 껴서 이들 지랄이지.북한 같아봐라 감사합니다.넙죽 절하고 먹지	False	others	hate	다 뱃대지 기름 끼 지랄 북한 같 감사 넙죽 절 먹
다들 섣부른 판단말길 조사해보면 나올것이고 여기서 난리 필 이유아닌거 같다 우리나라 사람들 은 왜 그렇게 남들에게 괸심이 많은지 내주변도 잘 돌보지 못하면서 오지랍 쩔어	False	others	offensive	다 섣부르 판단 말 길 조사 나오 난리 피 이유 같 나라 사람 왜 남 괴 심 많 주변 잘 돌보 오지랍 쩔
다들 심심한가봐요 사실일수도 거짓일수도있는거아니예요 그여자 한만디에 모든게사실이 되나요? 오달수씨 불쌍...	True	gender	none	다 심심 사실 거짓 있 여자 디 사실 되 오달수 불쌍
다들 지식입장이어봐요 그게 쉽게 갚어지나나라도 내가빌린것아니라 갚을마음없다도의적인 성의보였네 김영희..법적으로도 상속포기라는게있어 부모 빚갚을의무 없지않나..김영희 대놓고 욕하는사람..너나 잘해라	False	none	none	다 지식 입장 갚 나라 빌리 갚 마음 없 하 도의 성의 보이 김영희 법 상속 포기 있 부모 빚 갚 의무 없 김영희 대놓고 욕하 사람 잘 하
다들부잣집 사모님들 이런거 안했음 좋겠어	False	none	offensive	다 부잣집 사모 안 하 좋
다들사랑받지못한체살아와 인생이 말이아니네요 참... 불쌍합니다..	False	none	none	다 사랑 살아오 인생 말 불쌍
다른 멤버들은 뭔 죄냐 ㅋㅋ	False	none	none	멤버 죄
다른 사람과 다름을 인정해 주면 되는데틀리다고 잣대질 하는 사람들늙닭이니 틀탁이니 기성세대 욕하는 젊은 세대의꼰대질 내가 못하는 걸 하니까 틀리다고	False	none	none	사람 다르 인정 되 틀리 잣대 하 사람 늙 닭 틀탁 기성 세대 욕하 젊 세대 꼰대 못 하 하 틀리
다른 사람들 감정은 이해하는데 김현주 감정은 좀 억지. 그래서 고구마.	False	none	offensive	사람 감정 이해 김현주 감정 좀 억지 고구마
다른 사진 봤더니 원래 퉁퉁하시던데...	False	none	none	사진 보 원래 퉁퉁 하
다른 애들이 더 나은데 왜이렇게 띄워주는지..	False	none	none	애 더 왜 띄우
다른 여자 연예인들에 비하면 양반이구만. 꾸미고 안꾸미고 차이지.	False	others	offensive	여자 연예인 비하 양반 꾸미 안 꾸미 차
다른 출연자들편만 보고 멍청하고 띨띨하고 눈치없는 기안에피소드 나오면 채널 돌려버린다	False	none	offensive	출연자 편 보 멍청 띨띨 눈치 없 기안 에피소드 나오 채널 돌리
다른거 다 떠나서 노래가 별로던데 ㅋ아줌씨들은 좋던가? ㅋㅋ	True	gender	hate	다 떠나 노래 별로 ㅋ아줌씨 좋
다른건 모르겠꼬 슈퍼비자꾸 쇼미 나오는거 좀 추잡해 보인다	False	none	offensive	모르 슈퍼 비 자꾸 쇼미 나오 좀 추잡 보이
다른건모르겟고재미가없다 이상민얼굴에 웃음기도없고 멍때리거나 크라잉랩이나하지	False	none	hate	모르 재미 없 이상민 얼굴 웃음 없 멍 때리 크 잉 랩 하
